History Length,Forecast Length,Units,Epochs,Loss
50,10,[60],2,0.006887836383214416
50,10,[60],3,0.006885169185254547
50,10,[40],1,0.006852783669828423
50,10,[40],3,0.006884968863247396
50,10,[100],1,0.006886201800065418
50,10,[140],4,0.006882850737755542
50,10,[160],1,0.006882689591646133
50,10,[200],1,0.006883162034564315
50,10,[200],5,0.00688660645469088
50,10,[20],1,0.006886600634386158
50,10,[120],1,0.006883910101008804
50,10,[180],7,0.006878290168499139
50,10,[180],2,0.006887970593982265
50,10,[100],2,0.00688794972287892
50,10,[180],6,0.0068845970630111615
50,10,[160],3,0.00688575697770266
50,10,[140],5,0.006880813842821298
50,10,[180],4,0.006883117217692994
50,10,[140],7,0.006878236564074498
50,10,[20],2,0.006880691471293478
50,10,[100],5,0.006880658419428395
50,10,[140],3,0.006885591188969774
50,10,[200],3,0.006885801082900091
50,10,[120],3,0.006885457019600379
50,10,[80],2,0.006887754991187428
50,10,[140],2,0.0068879850439332955
50,10,[20],4,0.006883646658795222
50,10,[140],1,0.006884033240673447
50,10,[180],1,0.006882542085176149
50,10,[180],5,0.006880833984692425
50,10,[60],6,0.00687897756020345
50,10,[80],6,0.0068815926020388786
50,10,[40],5,0.0068805128473236965
50,10,[200],4,0.006883164299129663
50,10,[60],7,0.006878734750283419
50,10,[160],2,0.006885991537621064
50,10,[200],2,0.006884775311031439
50,10,[80],7,0.006880999961210878
50,10,[20],9,0.00687727827092059
50,10,[180],8,0.006877573921556695
50,10,[60],1,0.006887518857672011
50,10,[100],8,0.006878626974118496
50,10,[180],9,0.006877130506423595
50,10,[20],8,0.006877567451933427
50,10,[80],1,0.006884377352730988
50,10,[80],4,0.00688270434826915
50,10,[40],2,0.006887863412491632
50,10,[80],8,0.0068775104374793955
50,10,[100],3,0.006885507574017977
50,10,[180],3,0.006885771037759058
50,10,[60],4,0.006882638257764652
50,10,[100],7,0.006878221368273306
50,10,[20],3,0.006885319713800487
50,10,[80],3,0.0068848050100513425
50,10,[140],10,0.006876831068804128
50,10,[60],5,0.006885155131126963
50,10,[120],8,0.006877543142681163
50,10,[120],5,0.006880758336987681
50,10,[100],10,0.006876810175844926
50,10,[100],4,0.006882915704889448
50,10,[40],6,0.006879134129555778
50,10,[160],5,0.006885257443811573
50,10,[20],5,0.006881672454561192
50,10,[120],6,0.006879170984678468
50,10,[120],4,0.00688299820057057
50,10,[120],2,0.006887947785926088
50,10,[20],10,0.006876792709980847
50,10,[180],10,0.006876838302006607
50,10,[140],6,0.006879253423667836
50,10,[160],6,0.006879281909086029
50,10,[200],6,0.006882577047616146
50,10,[40],8,0.006877469425707405
50,10,[100],6,0.006879328321883339
50,10,[140],8,0.00687760124916085
50,10,[20],7,0.006878406047164494
50,10,[200],7,0.006878311433664308
50,10,[160],7,0.006878272293953669
50,10,[120],7,0.006878238852635196
50,10,[160],9,0.006877801858247743
50,10,[40],9,0.006877013470277828
50,10,[200],9,0.006877134665401628
50,10,[60],8,0.00687749713422481
50,10,[120],10,0.006876762340116002
50,10,[120],9,0.006877118733553134
50,10,[140],9,0.006877108854268713
50,10,[60],10,0.006876810175844926
50,10,[40],10,0.006876810175844926
50,10,[100],9,0.006877111845479422
50,10,[200],10,0.006876833000861292
50,10,[40],4,0.006882573620002104
50,10,[160],4,0.006883055999013646
50,10,[20],6,0.006881030090898348
50,10,[40],7,0.0068781069995982195
50,10,[160],8,0.006877577320091684
50,10,[80],5,0.00688687935267936
50,10,[200],8,0.0068775792535181275
50,10,[160],10,0.0068768337501631084
50,10,[60],9,0.006877101217146948
50,10,[80],9,0.006877093247003053
50,10,[80],10,0.006876813997493724
100,10,[40],1,0.0065320843957569225
100,10,[120],1,0.006475174142508017
100,10,[80],1,0.0064746193531050635
100,10,[100],3,0.00643157779221392
100,10,[100],1,0.0064766669392993656
100,10,[160],1,0.006475079235789117
100,10,[180],1,0.006475507801350556
100,10,[200],2,0.006447987358694007
100,10,[60],1,0.006526565167796137
100,10,[200],1,0.006484228462495429
100,10,[60],2,0.006450412663292607
100,10,[160],2,0.006447184162879222
100,10,[20],4,0.006442690439856942
100,10,[40],2,0.006450566954305853
100,10,[140],2,0.006447784041313105
100,10,[180],2,0.006447367562327547
100,10,[20],2,0.006451266296800577
100,10,[20],1,0.00647980772637872
100,10,[60],3,0.006431875596892219
100,10,[80],2,0.0064485835286936825
100,10,[60],10,0.0064016245790367516
100,10,[140],1,0.006475008511409526
100,10,[80],3,0.0064314257156198925
100,10,[180],3,0.006431240155842718
100,10,[40],5,0.006429922354272089
100,10,[20],3,0.00645741332583439
100,10,[40],3,0.0064334198087774505
100,10,[20],8,0.006405893392806173
100,10,[140],4,0.006419954046670581
100,10,[200],4,0.006420350185991103
100,10,[100],4,0.006420699127720034
100,10,[160],3,0.006430550843249711
100,10,[200],3,0.006431572324795874
100,10,[140],3,0.006430467769144269
100,10,[100],2,0.006448551160874731
100,10,[120],7,0.0064056445198770575
100,10,[160],4,0.006420078499365891
100,10,[60],5,0.006413606645889763
100,10,[60],8,0.00640379352911353
100,10,[120],4,0.0064209207805337905
100,10,[180],4,0.006421653591757555
100,10,[200],5,0.006413089025261386
100,10,[100],5,0.006413484128236988
100,10,[100],7,0.00640560869111825
100,10,[40],4,0.006426959330694958
100,10,[40],7,0.006409458840857307
100,10,[40],6,0.006412532647702722
100,10,[140],5,0.00641313723417902
100,10,[60],7,0.006405719160538566
100,10,[160],5,0.006413030304227365
100,10,[180],5,0.006413345664841722
100,10,[80],8,0.006403690274906138
100,10,[80],5,0.00641250043768032
100,10,[140],6,0.006408689290893404
100,10,[120],2,0.006447321750534171
100,10,[160],6,0.006408548715577558
100,10,[140],7,0.006405545995891377
100,10,[160],9,0.006402393587313589
100,10,[100],6,0.006408866407598563
100,10,[160],7,0.0064055036257690216
100,10,[80],6,0.006408713186004239
100,10,[40],8,0.006403744619559683
100,10,[180],7,0.006405636162110536
100,10,[20],7,0.006409228763849268
100,10,[200],7,0.006405565161292887
100,10,[120],3,0.006430920924507909
100,10,[120],9,0.0064023629062410214
100,10,[20],5,0.006413748679475132
100,10,[20],9,0.006402523587977006
100,10,[120],5,0.00641298323003975
100,10,[160],8,0.006403570476046007
100,10,[100],9,0.006402415396124219
100,10,[120],6,0.006408493647983955
100,10,[140],9,0.006402349415312645
100,10,[80],4,0.006420796749611751
100,10,[100],10,0.006401563434817941
100,10,[20],10,0.006402481216882653
100,10,[160],10,0.0064015836867800865
100,10,[20],6,0.006418737967319033
100,10,[60],4,0.006421412739800578
100,10,[200],10,0.006401566693462423
100,10,[180],6,0.0064089302496598355
100,10,[200],6,0.006408478785057496
100,10,[80],10,0.00640161810815233
100,10,[120],8,0.006403643192716311
100,10,[180],8,0.006403780083070547
100,10,[200],8,0.006403603368186071
100,10,[60],6,0.0064088772628229955
100,10,[40],9,0.006402491047804831
100,10,[80],9,0.006402453802560573
100,10,[120],10,0.006401592348805166
100,10,[80],7,0.006405786104561126
100,10,[140],10,0.006401563434817941
100,10,[180],10,0.006401575029427686
100,10,[100],8,0.00640365409227491
100,10,[140],8,0.006403642846316462
100,10,[200],9,0.006402477288182597
100,10,[60],9,0.006402330632437323
100,10,[40],10,0.006401642364445924
100,10,[180],9,0.006402357385704875
150,10,[100],1,0.005929692963282599
150,10,[120],1,0.005868337055151055
150,10,[180],1,0.005738743679910501
150,10,[60],1,0.005849643905857703
150,10,[160],1,0.005739284045877315
150,10,[80],2,0.0057790877128681495
150,10,[80],1,0.0059529292463928575
150,10,[200],1,0.0058843777817250385
150,10,[40],1,0.00571708379841287
150,10,[100],2,0.005756601075461106
150,10,[140],1,0.005744407599869353
150,10,[20],1,0.005725025212311988
150,10,[180],2,0.005664155330801701
150,10,[120],2,0.005694605897141821
150,10,[140],2,0.005661853939444928
150,10,[60],4,0.005629807925236597
150,10,[20],5,0.005586401659101648
150,10,[160],3,0.005625523725376863
150,10,[160],2,0.005663974781615066
150,10,[40],2,0.005745633504157571
150,10,[200],3,0.0056382802787675705
150,10,[180],4,0.005602824285846875
150,10,[20],4,0.005601245699841459
150,10,[200],4,0.005603016390940228
150,10,[140],3,0.005660161973762423
150,10,[60],3,0.005681725734484702
150,10,[160],5,0.005589038924619855
150,10,[20],2,0.005727293305723774
150,10,[40],5,0.005613230220703119
150,10,[60],7,0.005573909976318597
150,10,[160],4,0.005602747840257973
150,10,[40],4,0.0056303833504853995
150,10,[200],2,0.0056636543411405305
150,10,[100],3,0.0056871708702382435
150,10,[20],3,0.005623123171210547
150,10,[100],6,0.005595247407263326
150,10,[180],3,0.0056255168645782455
150,10,[60],2,0.005660108757286016
150,10,[140],7,0.005584012100679852
150,10,[120],3,0.005692098682826318
150,10,[80],7,0.005583190211741319
150,10,[80],4,0.005632665109704981
150,10,[80],3,0.0056245886018887635
150,10,[180],6,0.005580159292834251
150,10,[40],10,0.0055685469552254575
150,10,[40],3,0.005623549759029116
150,10,[120],4,0.005648484418137898
150,10,[80],10,0.0055699446214064405
150,10,[140],4,0.005602678817141511
150,10,[160],7,0.00557572823131646
150,10,[100],7,0.005574422203716644
150,10,[100],5,0.005602716829495568
150,10,[180],5,0.005591877262734294
150,10,[80],5,0.005615542348818947
150,10,[100],8,0.005570590395082893
150,10,[120],8,0.005570760169042784
150,10,[140],8,0.005578027147550506
150,10,[20],6,0.005590461480479814
150,10,[200],5,0.005589135064530133
150,10,[120],5,0.005598736074479777
150,10,[140],5,0.005609177978335348
150,10,[140],9,0.005568290361631482
150,10,[60],6,0.005598752695623279
150,10,[200],10,0.005566892507646459
150,10,[160],10,0.005566894203227619
150,10,[160],6,0.005583681281902352
150,10,[40],7,0.00557920799387734
150,10,[200],7,0.005574491457389618
150,10,[20],7,0.005573704161790972
150,10,[100],4,0.005608235741382203
150,10,[20],8,0.005571720338058664
150,10,[80],6,0.005579831785162878
150,10,[60],5,0.005608812724598382
150,10,[100],9,0.005572438759625405
150,10,[200],8,0.005570767436972415
150,10,[200],6,0.00558020048566143
150,10,[180],8,0.005570755607100264
150,10,[40],8,0.005570269526138609
150,10,[120],7,0.005583259004700233
150,10,[60],9,0.005568235534863134
150,10,[40],9,0.005571962311532779
150,10,[200],9,0.005568406568567175
150,10,[140],6,0.005596503082155063
150,10,[20],9,0.005568499228734019
150,10,[40],6,0.0055791241010316565
150,10,[120],6,0.00557992396437865
150,10,[160],8,0.005570779228571638
150,10,[20],10,0.005567911858821751
150,10,[180],7,0.005574456696443054
150,10,[100],10,0.005568692115322774
150,10,[80],8,0.005576058927984156
150,10,[80],9,0.005569887087134653
150,10,[60],8,0.005570527106925608
150,10,[60],10,0.005566820188872105
150,10,[180],10,0.005566892812113331
150,10,[160],9,0.005568388550175257
150,10,[120],10,0.005568708317017583
150,10,[180],9,0.005568418531510508
150,10,[120],9,0.0055721608373621384
150,10,[140],10,0.005569081936301146
200,10,[80],2,0.004582967497163097
200,10,[80],1,0.004567538794920645
200,10,[160],1,0.004555375200355903
200,10,[200],1,0.00457740176112512
200,10,[140],1,0.004579353925925756
200,10,[180],1,0.00458219586218975
200,10,[40],1,0.004561191788178599
200,10,[20],1,0.004582407135330469
200,10,[140],2,0.004585586510994361
200,10,[200],2,0.004588129829233415
200,10,[100],1,0.004569790863235612
200,10,[120],2,0.004583410328740793
200,10,[120],1,0.00455866463083701
200,10,[100],2,0.004582120964049299
200,10,[160],2,0.004588212962042944
200,10,[60],1,0.004570541784448623
200,10,[60],2,0.004582204565271315
200,10,[20],2,0.004584170639918959
200,10,[180],2,0.004588039345473132
200,10,[40],2,0.004588080377957454
200,10,[80],4,0.004589960081604037
200,10,[20],6,0.004591044565022672
200,10,[100],3,0.004589695861025178
200,10,[140],4,0.004590261462201395
200,10,[200],3,0.004589995213247702
200,10,[60],3,0.0045898160454760735
200,10,[80],3,0.004588905157939238
200,10,[40],3,0.004589991269894027
200,10,[140],3,0.004589865885054765
200,10,[120],3,0.004588162333300062
200,10,[160],4,0.0045906284656502564
200,10,[60],5,0.004590662077387135
200,10,[20],7,0.004591091471568124
200,10,[100],4,0.004590630328899402
200,10,[80],6,0.004590993436380234
200,10,[120],4,0.004590240320213407
200,10,[100],6,0.004591012170812682
200,10,[80],5,0.004590903924082824
200,10,[20],4,0.004590618576596996
200,10,[40],4,0.004590548174489047
200,10,[200],6,0.004591050254184372
200,10,[180],4,0.0045906355263950266
200,10,[100],5,0.004590697485515425
200,10,[60],7,0.00459110536871706
200,10,[100],7,0.004591086865206274
200,10,[40],7,0.004591106328935376
200,10,[200],8,0.004591132552474941
200,10,[60],4,0.00459067052848467
200,10,[160],3,0.0045893113488395245
200,10,[180],5,0.0045909227453509085
200,10,[20],5,0.0045909008640971066
200,10,[180],3,0.00458990979896875
200,10,[140],6,0.004591047182981417
200,10,[160],5,0.004590690267305377
200,10,[20],3,0.004589270669599762
200,10,[40],9,0.004591142609517163
200,10,[180],6,0.0045910476490441405
200,10,[140],5,0.0045908113918063835
200,10,[180],9,0.004591144319870302
200,10,[200],5,0.004590917246399681
200,10,[40],6,0.004591026746222533
200,10,[200],7,0.004591106157068469
200,10,[200],4,0.004590627840167102
200,10,[140],7,0.004591105084744546
200,10,[160],7,0.004591096867696121
200,10,[60],8,0.0045911316308747405
200,10,[100],9,0.004591144143454823
200,10,[200],9,0.004591143796271512
200,10,[80],7,0.004591103371524062
200,10,[80],8,0.004591130158740988
200,10,[40],8,0.004591132552474941
200,10,[120],8,0.004591126821276717
200,10,[40],5,0.004590841272019749
200,10,[100],8,0.004591129660590083
200,10,[120],5,0.004590769763066771
200,10,[180],7,0.004591079602628231
200,10,[120],7,0.0045910774991825
200,10,[20],9,0.004591143464330771
200,10,[80],9,0.004591141293822714
200,10,[160],8,0.004591128741029306
200,10,[60],10,0.0045911491783107205
200,10,[120],6,0.00459100425812981
200,10,[20],8,0.004591132323896118
200,10,[200],10,0.00459114738273303
200,10,[180],10,0.004591147717394314
200,10,[160],6,0.0045910488865304406
200,10,[120],10,0.00459114947417606
200,10,[60],6,0.004591011831197064
200,10,[120],9,0.004591143112568441
200,10,[140],9,0.004591146332366986
200,10,[20],10,0.004591148402902953
200,10,[40],10,0.0045911491783107205
200,10,[100],10,0.0045911496375300375
200,10,[180],8,0.004591133846008519
200,10,[60],9,0.004591142828574913
200,10,[140],8,0.004591128527208041
200,10,[160],10,0.004591148790820241
200,10,[140],10,0.004591148935447063
200,10,[80],10,0.004591150616322804
200,10,[160],9,0.004591143935042078
250,10,[40],1,0.00447095260007633
250,10,[20],1,0.0044891065420899455
250,10,[180],1,0.004469220191146111
250,10,[60],1,0.004470971714402448
250,10,[160],1,0.004470596488658125
250,10,[200],1,0.004468890701806933
250,10,[140],1,0.004469614613479403
250,10,[100],2,0.004457625744204352
250,10,[120],1,0.0044977793461782965
250,10,[160],2,0.004452721817993332
250,10,[140],2,0.004448529816536676
250,10,[80],1,0.00446738289032485
250,10,[60],2,0.004457608836352343
250,10,[160],3,0.004439704967967592
250,10,[100],1,0.004499026313483793
250,10,[200],2,0.00444778885472523
250,10,[120],2,0.004440500865676227
250,10,[80],2,0.004448283964829129
250,10,[20],2,0.004447661138677008
250,10,[80],3,0.00443869542484853
250,10,[100],3,0.004445467050997358
250,10,[80],4,0.004438313563686804
250,10,[40],3,0.004439630805048964
250,10,[180],2,0.004447820293405685
250,10,[180],3,0.004439804086253552
250,10,[120],3,0.004440794821952827
250,10,[40],4,0.0044356778214251795
250,10,[20],3,0.004439638647464492
250,10,[140],3,0.004439827402216129
250,10,[200],3,0.004439582803000947
250,10,[40],2,0.004447565882972028
250,10,[140],5,0.004432890051027791
250,10,[180],5,0.0044328628946874995
250,10,[200],4,0.004435276891288674
250,10,[140],4,0.004435601236329276
250,10,[40],5,0.004432164083707603
250,10,[100],4,0.004438438790559668
250,10,[160],4,0.004435284974030441
250,10,[20],8,0.004429923092351212
250,10,[140],6,0.004431354490713474
250,10,[80],5,0.0044342148113485705
250,10,[100],5,0.004431785538652691
