History Length,Forecast Length,Units,Epochs,Loss
50,10,[140],4,0.009987353073996447
50,10,[180],4,0.01210226860453543
50,10,[200],5,0.009806465746324081
50,10,[20],9,0.00623297756144645
50,10,[40],9,0.005668743881542511
50,10,[140],6,0.010493676202101785
50,10,[100],10,0.006707470735350757
50,10,[200],3,0.016201471452649233
50,10,[200],4,0.022814353604900223
50,10,[120],5,0.012966295800645934
50,10,[180],5,0.010582527131507464
50,10,[120],10,0.007084469905615675
50,10,[200],10,0.006307537279872033
50,10,[140],1,0.009978262298575714
50,10,[200],1,0.009531781724912468
50,10,[80],1,0.00710643279924068
50,10,[60],1,0.01174654759353552
50,10,[180],1,0.009564031649315732
50,10,[20],1,0.010967442147233802
50,10,[40],1,0.01484070838282174
50,10,[100],1,0.009904776880927292
50,10,[120],1,0.014348503201887413
50,10,[40],2,0.008850450973212935
50,10,[160],1,0.012167704098397123
50,10,[140],2,0.009284424351576446
50,10,[120],2,0.007957492417022217
50,10,[80],3,0.012107445717114024
50,10,[20],2,0.009745065105449932
50,10,[100],2,0.009639751235321754
50,10,[60],2,0.00820762283105451
50,10,[40],4,0.012010796256550767
50,10,[80],2,0.007975616305290268
50,10,[20],4,0.012572584351528547
50,10,[100],4,0.009418561925124655
50,10,[100],3,0.009571268964763232
50,10,[200],2,0.009495742593916789
50,10,[140],3,0.012261798275030033
50,10,[60],3,0.012481744403953377
50,10,[40],3,0.010661663791271644
50,10,[180],3,0.013252598393108777
50,10,[160],2,0.008435136118059964
50,10,[180],2,0.009162380810667397
50,10,[100],5,0.006903607748486328
50,10,[20],6,0.007832144141731662
50,10,[120],4,0.009081728342352834
50,10,[40],6,0.00664096145030313
50,10,[80],6,0.012009344768512516
50,10,[60],4,0.010221992940600881
50,10,[60],7,0.00675011279888288
50,10,[20],7,0.008771069582938554
50,10,[60],8,0.005968584255556905
50,10,[80],8,0.006592703672214016
50,10,[100],6,0.008075963892906119
50,10,[160],3,0.014476859033436965
50,10,[60],9,0.00544682553129909
50,10,[120],8,0.00642958427001932
50,10,[60],10,0.005804098495339819
50,10,[120],3,0.013552022314573737
50,10,[40],5,0.010650951853813586
50,10,[200],6,0.008182960019061365
50,10,[20],3,0.009998065630487506
50,10,[20],10,0.0063353334623562334
50,10,[120],7,0.008777383166306257
50,10,[100],8,0.006174552222349835
50,10,[100],7,0.009683405911525627
50,10,[140],7,0.009471453967031751
50,10,[160],6,0.01128211801083672
50,10,[40],8,0.0069532883965886545
50,10,[180],6,0.007607318124953821
50,10,[140],10,0.006429787212452543
50,10,[40],10,0.006256885630181464
50,10,[160],9,0.006354202101299601
50,10,[140],8,0.0072758499820207365
50,10,[120],9,0.006667453954931891
50,10,[180],8,0.009012560873411077
50,10,[180],9,0.0071114890437955535
50,10,[200],9,0.006756479792159841
50,10,[200],7,0.0085953031832826
50,10,[80],9,0.006497063178656801
50,10,[160],8,0.006476175192598308
50,10,[160],10,0.006885867565647644
50,10,[140],9,0.005999156610476121
50,10,[160],4,0.011902107010497619
50,10,[80],4,0.008955995258766933
50,10,[160],5,0.010145155067011993
50,10,[60],5,0.00952129331818693
50,10,[80],5,0.008533473127910344
50,10,[140],5,0.009301850027062613
50,10,[60],6,0.007345948842205681
